location,population,highest_infection_count,percent_population_infected
Andorra,77265,13232,17.125477253607713
Montenegro,628062,97389,15.506271673815641
Czechia,10708982,1630758,15.227946036327261
San Marino,33938,5066,14.92722022511639
Slovenia,2078932,240292,11.558434811720634
Luxembourg,625976,67205,10.736034608355592
Bahrain,1701583,176934,10.398199793956568
Serbia,6804596,689557,10.133694932072382
United States,331002647,32346971,9.7724206416995809
Israel,8655541,838481,9.6872165471805864
Sweden,10099270,973604,9.640340341430619
Estonia,1326539,122019,9.1982972230744817
Lithuania,2722291,247269,9.083121532562096
Netherlands,17134873,1522973,8.8881487478780841
Belgium,11589616,990229,8.5441053439561756
Panama,4314768,364576,8.4494925335498916
France,68147687,5677835,8.33166208561121
Portugal,10196707,836493,8.2035602278264932
Croatia,4105268,332183,8.0916276355161223
Hungary,9660350,779348,8.0674923786405248
Georgia,3989175,310310,7.778801381237975
Lebanon,6825442,526578,7.7149289379354471
Liechtenstein,38137,2926,7.6723391981540239
Switzerland,8654618,659974,7.6256860788078678
Spain,46754783,3524077,7.5373614716594872
Cyprus,875899,65233,7.4475481762166647
Poland,37846605,2792142,7.3775230301370494
North Macedonia,2083380,152367,7.3134521786711986
Armenia,2963234,216064,7.2914930106768487
Qatar,2881060,205652,7.138067239141149
Slovakia,5459643,382211,7.0006592006107358
Jordan,10203140,711373,6.9720987852759055
European Union,444919060,30771214,6.9161375104946048
Brazil,212559409,14659011,6.8964300705220722
Austria,9006400,618870,6.871446971042813
Malta,441539,30292,6.8605491247658756
Italy,60461828,4022653,6.6532110143940741
Argentina,45195777,2977363,6.5877017669150817
United Kingdom,67886004,4432246,6.5289540388914338
Kuwait,4270563,273991,6.4158051292066167
North America,592072204,37529488,6.3386674372573655
Latvia,1886202,118558,6.2855409971996634
Chile,19116209,1198245,6.2682145816673165
Monaco,39244,2454,6.2531852002853938
Moldova,4033963,250837,6.2181284260663769
Bosnia and Herzegovina,3280815,198461,6.0491371808529282
Europe,748680069,44863478,5.9923430391199579
Seychelles,98340,5873,5.9721374822045963
Bulgaria,6948445,404380,5.8197193760618386
Palestine,5101416,296462,5.8113668832339886
South America,430759772,24878216,5.7754269588572447
Turkey,84339067,4820591,5.7157272086019164
Uruguay,3473727,198428,5.71225084757668
Colombia,50882884,2859724,5.6202081627291411
Maldives,540542,29835,5.5194600974577366
Romania,19237682,1055265,5.4854061939478989
Peru,32971846,1799445,5.4575197275881973
Kosovo,1932774,103638,5.3621375287540092
United Arab Emirates,9890400,520236,5.260009706381946
Ireland,4937796,248870,5.0401029123114842
Costa Rica,5094114,250991,4.9270785852063774
Ukraine,43733759,2124070,4.8568201054933331
Albania,2877800,131085,4.5550420460073671
Denmark,5792203,251249,4.33771053949594
Cape Verde,555988,23882,4.2954164478370034
Germany,83783945,3405365,4.0644600824179378
Paraguay,7132530,279077,3.9127350323097132
Belarus,9449321,358738,3.7964420935641834
Oman,5106622,193253,3.7843607770459613
Vatican,809,27,3.3374536464771323
Greece,10423056,345033,3.3102863497999047
Russia,145934460,4750755,3.2554031446719303
Canada,37742157,1228367,3.2546285046718451
Belize,397621,12668,3.1859484282771784
Azerbaijan,10139175,319109,3.1472876244862134
Iran,83992953,2499077,2.9753412765473315
South Africa,59308690,1581210,2.6660679910481924
Bahamas,393248,10453,2.6581190495565137
Iraq,40222503,1065199,2.6482663199751642
Tunisia,11818618,309119,2.6155257746717933
Bolivia,11673029,303732,2.6019981617453358
Libya,6871287,177508,2.5833297313880208
Saint Lucia,183629,4552,2.4789112830762026
Dominican Republic,10847904,266561,2.457258102579079
Ecuador,17643060,381862,2.1643751140675143
Honduras,9904608,212333,2.1437799456576174
Norway,5421242,112970,2.0838398285854054
Kazakhstan,18776707,375539,2.0000258831327558
Botswana,2351625,46934,1.9958114070057937
World,7794798729,151399480,1.9423141669678896
Namibia,2540916,48351,1.9028964357735556
Iceland,341250,6472,1.8965567765567766
Mexico,128932753,2344755,1.8185875547076853
Suriname,586634,10363,1.7665188175250666
Guyana,786559,13283,1.6887480786565281
Saint Vincent and the Grenadines,110947,1864,1.6800814803464719
Eswatini,1160164,18458,1.5909819646187953
Finland,5540718,86808,1.5667283554225284
Jamaica,2961161,45578,1.5391935798154845
Kyrgyzstan,6524191,95275,1.460334315779535
India,1380004385,19164969,1.3887614567253712
Morocco,36910558,511249,1.3851023330506138
Barbados,287371,3855,1.3414714776369223
Guatemala,17915567,227671,1.2707998580229138
Malaysia,32365998,408713,1.2627850993502503
Antigua and Barbuda,97928,1232,1.2580671513765216
Saudi Arabia,34813867,417363,1.1988412548367582
Mongolia,3278292,37285,1.1373300486960893
Djibouti,988002,11100,1.1234795071265038
Nepal,29136808,323187,1.1092052362084412
El Salvador,6486201,69198,1.0668494547116256
Sao Tome and Principe,219161,2302,1.0503693631622413
Singapore,5850343,61145,1.045152395338188
Gabon,2225728,23075,1.0367394398596774
Philippines,109581085,1037460,0.946750983529685
Cuba,11326616,106707,0.94209073566191348
Asia,4639847425,39526308,0.85188809845401325
Trinidad and Tobago,1399491,10824,0.77342405203034525
Venezuela,28435943,197683,0.69518707362720478
Indonesia,273523621,1668368,0.60995390229935564
Equatorial Guinea,1402985,7694,0.5484021568299019
Sri Lanka,21413250,108146,0.50504243867698739
Lesotho,2142252,10731,0.50092146022036621
Zambia,18383956,91586,0.49818439513236434
Japan,126476458,593264,0.46907069456356854
Bangladesh,164689383,759132,0.46094774670447336
Comoros,869595,3834,0.44089489934969722
Mauritania,4649660,18402,0.39577087356925023
Pakistan,220892331,825519,0.37372008175331356
Africa,1340598113,4557699,0.33997504216985275
Ghana,31072945,92562,0.29788615144139058
Kenya,53771300,159318,0.29628816859551471
Algeria,43851043,122108,0.27846087948238768
Cameroon,26545864,72250,0.2721704593981194
Uzbekistan,33469199,90808,0.2713181155007624
Myanmar,54409794,142817,0.26248399323107158
Zimbabwe,14862927,38257,0.25739882864256819
Gambia,2416664,5898,0.24405544171634949
Dominica,71991,174,0.24169687877651372
Senegal,16743930,40344,0.24094701781481406
South Korea,51269183,122634,0.23919632189184681
Ethiopia,114963583,257442,0.22393352162658328
Mozambique,31255435,69917,0.22369549487953055
Egypt,102334403,227552,0.22236119362517803
Rwanda,12952209,25116,0.19391286845355876
Congo,5518092,10678,0.19350891576291224
Guinea-Bissau,1967998,3734,0.1897359651788264
Malawi,19129955,34078,0.17813946765687635
Cote d'Ivoire,26378275,46036,0.17452240527479526
Timor,1318442,2276,0.17262799577076579
Guinea,13132792,22215,0.16915671854088604
Togo,8278737,12967,0.1566301719694683
Afghanistan,38928341,59745,0.15347430295064463
Grenada,112519,160,0.14219820652512019
Tajikistan,9537642,13308,0.13953134328170422
Bhutan,771612,1074,0.13918912614111756
Madagascar,27691019,37014,0.13366788705031044
Central African Republic,4829764,6411,0.13273940507238033
Syria,17500657,22733,0.12989798040153577
Papua New Guinea,8947027,10997,0.12291233724901021
Australia,25499881,29811,0.11690642791627144
Haiti,11402533,13056,0.11450087449867499
Nicaragua,6624554,6898,0.10412776467668616
Eritrea,3546427,3671,0.10351263398344304
Oceania,42677809,43570,0.10209052671846391
